"","StationID","Replicate","SampleDate","Latitude","Longitude","SalZone","AMBI_Score","S","H","Oligo_pct","MAMBI_Score","Orig_MAMBI_Condition","New_MAMBI_Condition","Use_MAMBI","Use_AMBI","YesEG"
"1","B18-10175",1,2018-09-26,32.93255,-117.25811,"WEH",1.39655172413793,10,3.32192809488736,NA,0.693,"Good","Reference","Yes","Yes",89.6551724137931
"2","B18-10182",1,2018-09-19,32.55694,-117.12755,"WEH",1.92,20,4.32192809488736,NA,0.763,"Good","Reference","Yes","Yes",98
"3","B18-10195",1,2018-09-10,32.80456,-117.22293,"WEH",3.5824345146379,9,3.16992500144231,NA,0.497,"Moderate","Low Disturbance","Yes","Yes",81.8181818181818
"4","B18-10199",1,2018-08-08,32.65825,-117.08304,"WPH",2.87026359143328,36,4.16992500144231,NA,0.671,"Good","Reference","Yes","Yes",99.670510708402
"5","B18-10199",1,2018-08-08,32.65825,-117.08303,"WPH",2.87026359143328,36,4.16992500144231,NA,0.671,"Good","Reference","Yes","Yes",99.670510708402
"6","B18-10199",1,2018-08-08,32.65825,-117.08304,"WPH",2.87026359143328,36,4.16992500144231,NA,0.671,"Good","Reference","Yes","Yes",99.670510708402
"7","B18-10199",1,2018-08-08,32.65825,-117.08303,"WPH",2.87026359143328,36,4.16992500144231,NA,0.671,"Good","Reference","Yes","Yes",99.670510708402
"8","B18-10199",1,2018-08-08,32.65825,-117.08304,"WPH",2.87026359143328,36,4.16992500144231,NA,0.671,"Good","Reference","Yes","Yes",99.670510708402
"9","B18-10199",1,2018-08-08,32.65825,-117.08303,"WPH",2.87026359143328,36,4.16992500144231,NA,0.671,"Good","Reference","Yes","Yes",99.670510708402
"10","B18-10199",1,2018-08-08,32.65825,-117.08304,"WPH",2.87026359143328,36,4.16992500144231,NA,0.671,"Good","Reference","Yes","Yes",99.670510708402
"11","B18-10199",1,2018-08-08,32.65825,-117.08303,"WPH",2.87026359143328,36,4.16992500144231,NA,0.671,"Good","Reference","Yes","Yes",99.670510708402
"12","B18-10174",1,2018-08-10,32.97306,-117.24947,"WEH",1.72487223168654,38,5.24792751344359,NA,0.908,"High","Reference","Yes","With Care",78.7052810902896
"13","B18-10194",1,2018-08-10,32.97614,-117.24785,"WEH",1.77224199288256,31,4.95419631038687,NA,0.86,"High","Reference","Yes","Yes",82.3250296559905
"14","B18-10201",1,2018-09-26,32.59896,-117.11546,"WEH",2.19341317365269,86,5.4262647547021,NA,1.013,"High","Reference","Yes","Yes",83.1137724550898
"15","B18-10201",1,2018-09-26,32.59899,-117.11547,"WEH",2.19341317365269,86,5.4262647547021,NA,1.013,"High","Reference","Yes","Yes",83.1137724550898
"16","B18-10201",1,2018-09-26,32.59896,-117.11546,"WEH",2.19341317365269,86,5.4262647547021,NA,1.013,"High","Reference","Yes","Yes",83.1137724550898
"17","B18-10201",1,2018-09-26,32.59899,-117.11547,"WEH",2.19341317365269,86,5.4262647547021,NA,1.013,"High","Reference","Yes","Yes",83.1137724550898
"18","B18-10201",2,2018-09-26,32.59896,-117.11546,"WEH",2.08081155433287,108,5.75488750216347,NA,1.11,"High","Reference","Yes","With Care",74.6217331499312
"19","B18-10201",2,2018-09-26,32.59899,-117.11547,"WEH",2.08081155433287,108,5.75488750216347,NA,1.11,"High","Reference","Yes","With Care",74.6217331499312
"20","B18-10201",2,2018-09-26,32.59896,-117.11546,"WEH",2.08081155433287,108,5.75488750216347,NA,1.11,"High","Reference","Yes","With Care",74.6217331499312
"21","B18-10201",2,2018-09-26,32.59899,-117.11547,"WEH",2.08081155433287,108,5.75488750216347,NA,1.11,"High","Reference","Yes","With Care",74.6217331499312
"22","B18-10201",1,2018-09-26,32.59896,-117.11546,"WEH",2.19341317365269,86,5.4262647547021,NA,1.013,"High","Reference","Yes","Yes",83.1137724550898
"23","B18-10201",1,2018-09-26,32.59899,-117.11547,"WEH",2.19341317365269,86,5.4262647547021,NA,1.013,"High","Reference","Yes","Yes",83.1137724550898
"24","B18-10201",1,2018-09-26,32.59896,-117.11546,"WEH",2.19341317365269,86,5.4262647547021,NA,1.013,"High","Reference","Yes","Yes",83.1137724550898
"25","B18-10201",1,2018-09-26,32.59899,-117.11547,"WEH",2.19341317365269,86,5.4262647547021,NA,1.013,"High","Reference","Yes","Yes",83.1137724550898
"26","B18-10201",2,2018-09-26,32.59896,-117.11546,"WEH",2.08081155433287,108,5.75488750216347,NA,1.11,"High","Reference","Yes","With Care",74.6217331499312
"27","B18-10201",2,2018-09-26,32.59899,-117.11547,"WEH",2.08081155433287,108,5.75488750216347,NA,1.11,"High","Reference","Yes","With Care",74.6217331499312
"28","B18-10201",2,2018-09-26,32.59896,-117.11546,"WEH",2.08081155433287,108,5.75488750216347,NA,1.11,"High","Reference","Yes","With Care",74.6217331499312
"29","B18-10201",2,2018-09-26,32.59899,-117.11547,"WEH",2.08081155433287,108,5.75488750216347,NA,1.11,"High","Reference","Yes","With Care",74.6217331499312
"30","B18-10824",1,2018-09-26,32.58854,-117.10763,"WEH",3.53087885985748,20,4.32192809488736,NA,0.63,"Good","Reference","Yes","Yes",88.8361045130641
"31","B18-10173",1,2018-09-12,33.08952,-117.28498,"WEH",1.80405405405405,23,4.52356195605701,NA,0.798,"High","Reference","Yes","With Care",59.7297297297297
"32","B18-10171",1,2018-09-12,33.08992,-117.27848,"WEH",5.49607072691552,11,3.4594316186373,NA,0.37,"Poor","High Disturbance","Yes","Yes",99.2141453831041
"33","B18-10172",1,2018-09-12,33.0896,-117.29459,"WEH",1.7710843373494,25,4.64385618977472,NA,0.817,"High","Reference","Yes","With Care",71.6867469879518
"34","B18-10170",1,2018-09-11,33.13903,-117.33747,"WEH",1.80150753768844,25,4.64385618977472,NA,0.814,"High","Reference","Yes","Yes",98.4924623115578
"35","B18-10169",1,2018-09-11,33.13982,-117.31879,"WEH",2.04166666666667,14,3.8073549220576,NA,0.693,"Good","Reference","Yes","Yes",100
"36","B18-10168",1,2018-09-11,33.14021,-117.32424,"WEH",1.57692307692308,11,3.4594316186373,NA,0.693,"Good","Reference","Yes","Yes",89.7435897435897
